ad_set,ad,direction,ratio,path
AS_Harassment_NW,Creditor_Harassment,illustration,9x16,creatives/Creditor_Harassment/Creditor_Harassment_illustration_9x16.png
AS_Harassment_NW,Creditor_Harassment,illustration,1.91x1,creatives/Creditor_Harassment/Creditor_Harassment_illustration_1.91x1.png
AS_Harassment_NW,Creditor_Harassment,photo,1x1,creatives/Creditor_Harassment/Creditor_Harassment_photo_1x1.png
AS_Harassment_NW,Creditor_Harassment,photo,4x5,creatives/Creditor_Harassment/Creditor_Harassment_photo_4x5.png
AS_Harassment_NW,Creditor_Harassment,photo,9x16,creatives/Creditor_Harassment/Creditor_Harassment_photo_9x16.png
AS_Harassment_NW,Creditor_Harassment,photo,1.91x1,creatives/Creditor_Harassment/Creditor_Harassment_photo_1.91x1.png
AS_Harassment_NW,Creditor_Harassment,stilllife,1x1,creatives/Creditor_Harassment/Creditor_Harassment_stilllife_1x1.png
AS_Harassment_NW,Creditor_Harassment,stilllife,4x5,creatives/Creditor_Harassment/Creditor_Harassment_stilllife_4x5.png
AS_Harassment_NW,Creditor_Harassment,stilllife,9x16,creatives/Creditor_Harassment/Creditor_Harassment_stilllife_9x16.png
AS_Harassment_NW,Creditor_Harassment,stilllife,1.91x1,creatives/Creditor_Harassment/Creditor_Harassment_stilllife_1.91x1.png
AS_Harassment_NW,Creditor_Harassment,video,9x16,creatives/Creditor_Harassment/Creditor_Harassment_video_9x16.mp4
AS_Harassment_NW,FDCPA_Harassment,illustration,1x1,creatives/FDCPA_Harassment/FDCPA_Harassment_illustration_1x1.png
AS_Harassment_NW,FDCPA_Harassment,illustration,4x5,creatives/FDCPA_Harassment/FDCPA_Harassment_illustration_4x5.png
AS_Harassment_NW,FDCPA_Harassment,illustration,9x16,creatives/FDCPA_Harassment/FDCPA_Harassment_illustration_9x16.png
AS_Harassment_NW,FDCPA_Harassment,illustration,1.91x1,creatives/FDCPA_Harassment/FDCPA_Harassment_illustration_1.91x1.png
AS_Harassment_NW,FDCPA_Harassment,photo,1x1,creatives/FDCPA_Harassment/FDCPA_Harassment_photo_1x1.png
AS_Harassment_NW,FDCPA_Harassment,photo,4x5,creatives/FDCPA_Harassment/FDCPA_Harassment_photo_4x5.png
AS_Harassment_NW,FDCPA_Harassment,photo,9x16,creatives/FDCPA_Harassment/FDCPA_Harassment_photo_9x16.png
AS_Harassment_NW,FDCPA_Harassment,photo,1.91x1,creatives/FDCPA_Harassment/FDCPA_Harassment_photo_1.91x1.png
AS_Harassment_NW,FDCPA_Harassment,stilllife,1x1,creatives/FDCPA_Harassment/FDCPA_Harassment_stilllife_1x1.png
AS_Harassment_NW,FDCPA_Harassment,stilllife,4x5,creatives/FDCPA_Harassment/FDCPA_Harassment_stilllife_4x5.png
AS_Harassment_NW,FDCPA_Harassment,stilllife,9x16,creatives/FDCPA_Harassment/FDCPA_Harassment_stilllife_9x16.png
AS_Harassment_NW,FDCPA_Harassment,stilllife,1.91x1,creatives/FDCPA_Harassment/FDCPA_Harassment_stilllife_1.91x1.png
AS_Harassment_NW,FDCPA_Harassment,video,9x16,creatives/FDCPA_Harassment/FDCPA_Harassment_video_9x16.mp4
AS_Harassment_NW,Multiple_Collectors,illustration,1x1,creatives/Multiple_Collectors/Multiple_Collectors_illustration_1x1.png
